groups,grains total,grains without maize,bread cereals,wheat,common wheat,winter wheat,spring wheat,durum,rye,maslin,feed and industrial wheat,barley,winter barley,spring barley,oat,summer cereal mixtures,triticale,grain maize,forage peas,broad beans,lupines,potatoes,new potatoes,later potatoes,sugar beets,fodder beet,rape,winter oilseed rape,summer rapeseed and winter oilseed rape,helianthus,roughage,grass ley and clover,alfalfa,field grass,silage maize,meadow and grassland,meadow,grassland
1950,10275753x0,10258531x0,5832024x2465608,2626598x1020329,0x0,2477847x955542,148751x64787,0x0,3047005x1377341,158421x67938,4426507x1971266,1478333x616550,358589x127813,1119744x488737,2567790x1172283,380384x182433,0x0,17222x0,0x0,42190x22433,0x0,28194108x1154811,1590053x0,26604055x0,6981348x0,26647558x0,80717x0,71337x42484,9369x0,0x0,22280927x0,5228268x841783,0x0,726700x238192,1628111x47216,16325959x0,0x0,0x0
1951,11255109x0,11234082x0,6189463x2404560,2965475x1037141,0x0,2751223x954458,214252x82683,0x0,3060560x1303045,163428x64374,5044619x1994660,1694480x646162,426189x138003,1268291x508159,2863748x1144893,486391x203605,0x0,21027x0,0x0,40157x18589,0x0,24330307x1130832,1207861x0,23122446x0,7293066x0,23764546x0,86350x0,73989x41313,12349x0,0x0,27461730x0,6878062x954723,0x0,830104x234001,1518316x43714,19753564x0,0x0,0x0
1952,11562622x0,11546065x0,6629199x2644543,3312897x1203347,0x0,3162815x1142232,150082x61115,0x0,3143020x1367567,173282x73629,4916866x2047158,1763110x710090,494098x169483,1269012x540607,2639414x1124789,514342x212279,0x0,16557x0,0x0,33921x17551,0x0,24069653x1161445,1036394x0,23033259x0,6847630x0,18629221x0,56087x0,49731x27796,6356x0,0x0,22102986x0,5070832x859627,0x0,689387x237139,899118x40452,16342767x0,0x0,0x0
1953,12021445x0,12001626x0,6676484x2644833,3197276x1165163,0x0,2817108x1023911,380168x141252,0x0,3299468x1404747,179740x74923,5325142x2125338,2077727x791664,535985x176527,1541742x615137,2578517x1067744,668898x265930,0x0,19819x0,0x0,36298x16214,0x0,24786716x1178183,1059393x0,23727323x0,8424923x0,23573364x0,31679x0,26610x15237,5069x0,0x0,25139184x0,5310571x778545,0x0,842154x240508,1474114x45662,18986459x0,0x0,0x0
1954,12673168x0,12652685x0,7218089x2730250,2914412x1116953,0x0,2375605x919289,538807x197664,0x0,4124841x1542144,178836x71153,5434596x2071542,1926056x736373,175390x64772,1750666x671601,2497907x955191,1010633x379978,0x0,20483x0,0x0,31916x16029,0x0,27066702x1204964,1206258x0,25860444x0,9015145x0,23060764x0,15413x0,10679x5866,4734x0,0x0,24289987x0,5276289x796907,0x0,733594x229560,1689544x48546,18280104x0,0x0,0x0
1955,12565570x0,12545309x0,7088009x2734849,3401533x1181370,0x0,2972310x1028350,429223x153020,0x0,3519528x1485806,166948x67673,5457300x2098226,2085858x782306,460214x142311,1625644x639995,2504514x981261,866928x334659,0x0,20261x0,0x0,34155x13921,0x0,23094119x1142705,995747x0,22098372x0,8937818x0,24318533x0,21061x0,12437x6725,8624x0,0x0,26673387x0,5757381x792655,0x0,726853x213204,1731261x46898,20189153x0,0x0,0x0
1956,13208162x0,13187758x0,7404061x2709676,3490595x1155311,0x0,3069244x1007641,421351x147670,0x0,3750540x1491020,162926x63345,5783697x2189917,2326431x858711,429338x134038,1897093x724673,2485715x967640,971551x363566,0x0,20404x0,0x0,33315x14592,0x0,27013722x1148615,1149258x0,25864464x0,8348329x0,20958223x0,38950x0,27006x11526,11944x0,0x0,25279740x0,4683002x697698,0x0,773949x220254,1701251x50096,19822789x0,0x0,0x0
1957,13570271x0,13554281x0,7890896x2772137,3869709x1231494,0x0,3439430x1076274,430279x155220,0x0,3840337x1475461,180850x65182,5663385x2133676,2513552x875908,637258x180143,1876294x695765,2250279x916734,899554x341034,0x0,15990x0,0x0,30358x13567,0x0,26501510x1132558,989158x0,25512352x0,9691763x0,22427634x0,67603x0,47269x19870,20334x0,0x0,25395100x0,4817540x706336,0x0,814780x226594,1637000x45999,19762780x0,0x0,0x0
1958,13169882x0,13156989x0,7664049x2890618,3720684x1313922,0x0,3429322x1205249,291362x108673,0x0,3751420x1502754,191945x73942,5492940x2056946,2423327x881545,631771x201948,1791556x679597,2171955x837555,897658x337846,0x0,12893x0,0x0,27449x12106,0x0,22868412x1073610,962856x0,21905556x0,11236773x0,24084871x0,57722x0,44620x24442,13102x0,0x0,27219370x0,4919483x669999,0x0,968176x244037,1735039x45840,21331711x0,0x0,0x0
1959,14409567x0,14396381x0,8612927x2838023,4522459x1341693,0x0,4146622x1219053,375837x122640,0x0,3887198x1426069,203270x70261,5783454x2123944,2843144x951120,856938x238768,1986206x712352,2038937x811603,901373x361221,0x0,13186x0,0x0,21422x12143,0x0,22719950x1054125,821519x0,21898431x0,8169350x0,15037498x0,58889x0,46683x20031,12206x0,0x0,22948086x0,4171748x665422,0x0,848222x247341,1179620x37769,17928116x0,0x0,0x0
